From,To,Weight,Impact Factor
J NERV MENT DIS,OMEGA-J DEATH DYING,9,0.676
GROUP PROCESS INTERG,PERS SOC PSYCHOL B,114,2.504
PLOS ONE,J HEALTH SOC BEHAV,113,3
J CROSS CULT PSYCHOL,INT J PSYCHOL,32,1.778
HEALTH PSYCHOL REV,BRIT J HEALTH PSYCH,44,2.551
RISK ANAL,RISK ANAL,657,2.518
J MED INTERNET RES,AM J HEALTH BEHAV,18,1.479
J MONETARY ECON,J MONETARY ECON,181,2.11
FRONT PSYCHOL,J SOC CLIN PSYCHOL,49,1.527
J PERS ASSESS,J RES PERS,52,2.417
SOC SCI INFORM,SCIENTOMETRICS,13,2.147
PSYCHOTHER RES,PSYCHOTHERAPY,125,2.573
MEMORY,AM J PSYCHOL,28,0.629
RATION SOC,RATION SOC,20,0.486
PSYCHOTHER PSYCHOSOM,PSYCHOL MED,39,5.23
TRANSPORT RES C-EMER,TRANSPORT RES A-POL,204,2.609
VA LAW REV,J LEGAL STUD,38,1.770
MANAGE DECIS,J MANAGE STUD,128,3.962
J DOC,INFORM RES,66,0.574
INT J HUM-COMPUT INT,INT J HUM-COMPUT ST,71,2.863
SYST PRACT ACT RES,ORGAN SCI,13,2.691
J AM GERIATR SOC,J AM GERIATR SOC,1177,4.388
J ANXIETY DISORD,COGN BEHAV THERAPY,73,2.264
ELECTRON COMMER RES,MIS QUART,43,7.268
PSYCHOL SCI PUBL INT,PSYCHOL SCI,26,5.667
BEHAV RES THER,J CONSULT CLIN PSYCH,296,4.593
SOC FORCES,AM SOCIOL REV,253,4.4
ACCOUNT AUDIT ACCOUN,BRIT ACCOUNT REV,27,2.135
J CONSUM CULT,J CONSUM RES,85,3.800
STRATEGIC MANAGE J,ACAD MANAGE REV,402,9.408
PLOS ONE,SUICIDE LIFE-THREAT,58,3.252
SCI CULT-UK,SCI TECHNOL HUM VAL,18,2.907
J POLITENESS RES-LAN,J POLITENESS RES-LAN,32,0.522
MIT SLOAN MANAGE REV,MIT SLOAN MANAGE REV,20,2.705
YALE LAW J,COLUMBIA LAW REV,117,3.775
QUAL MANAG HEALTH CA,JAMA-J AM MED ASSOC,20,44.405
COMMUNITY MENT HLT J,BRIT J PSYCHIAT,83,6.347
COGNITIVE SCI,J EXP PSYCHOL LEARN,113,2.667
J WORLD BUS,ACAD MANAGE J,334,7.417
MANAGE LEARN,HUM RELAT,73,2.622
J SOC ISSUES,GROUP PROCESS INTERG,30,1.743
J CHILD PSYCHOL PSYC,DEV PSYCHOPATHOL,97,3.244
AGEING SOC,J AGING STUD,94,1.248
REV MANAG SCI,J FINANC,61,6.043
INTERACT COMPUT,INT J HUM-COMPUT INT,28,1.118
J BEHAV ADDICT,PSYCHIAT RES,56,2.528
J HEALTH COMMUN,COMMUN RES,91,3.021
SOCIOL QUART,ANNU REV SOCIOL,42,5.404
BRIT FOOD J,RBGN-REV BRAS GEST N,1,0.153
SCI COMMUN,RISK ANAL,30,2.518
INT J AGING HUM DEV,EDUC GERONTOL,18,0.674
SCI TECHNOL SOC,RISK ANAL,14,2.518
EUR MANAG J,LONG RANGE PLANN,42,3.547
GEN HOSP PSYCHIAT,GEN HOSP PSYCHIAT,99,2.279
FUTURE CHILD,SCIENCE,23,37.205
PLOS ONE,PSYCHO-ONCOLOGY,117,3.095
ECON RES-EKON ISTRAZ,INT J HOSP MANAG,33,2.787
J EARLY ADOLESCENCE,PSYCHOL BULL,54,16.793
J APPL SOC PSYCHOL,J APPL PSYCHOL,98,4.130
INFORM COMMUN SOC,GAMES CULT,10,1.109
EVOL ANTHROPOL,EVOL ANTHROPOL,45,3.733
SERV SCI,MIS QUART,30,7.268
J EXP PSYCHOL LEARN,PSYCHOL LEARN MOTIV,55,2.821
INT J STRESS MANAGE,INT J STRESS MANAGE,18,1.632
SYSTEM,LANG LEARN TECHNOL,47,2.293
COMPUT EDUC,INTERACT LEARN ENVIR,29,1.674
PSYCHOL MARKET,J CONSUM BEHAV,27,1.481
BEHAV RES THER,BEHAV MODIF,28,1.455
J INF TECHNOL,INFORM ORGAN-UK,16,2.083
J MED LIBR ASSOC,BMC MED RES METHODOL,9,3.295
J HEALTH PSYCHOL,J PSYCHOSOM RES,118,2.809
EXP PSYCHOL,J EXP PSYCHOL HUMAN,48,2.287
AGEING SOC,CAN J AGING,16,0.734
EDUC SCI-THEOR PRACT,TURK PSIKOL DERG,7,0.077
J YOUTH ADOLESCENCE,CLIN CHILD FAM PSYCH,35,4.171
INFORM TECHNOL PEOPL,MIS QUART,136,7.268
J SUPPLY CHAIN MANAG,J SUPPLY CHAIN MANAG,148,5.789
J COMPUT HIGH EDUC,J COMPUT HIGH EDUC,17,1.440
J ORGAN CHANGE MANAG,STRATEGIC MANAGE J,92,4.461
ANNU REV ORGAN PSYCH,ACAD MANAGE REV,76,9.408
TELEMAT INFORM,INFORM DEV,11,1.691
TRANSPORT J,J BUS LOGIST,67,2.878
DECIS SUPPORT SYST,INT J ELECTRON COMM,30,3.900
J SCH VIOLENCE,J ADOLESCENT HEALTH,30,3.974
PSYCHON B REV,J COGNITIVE NEUROSCI,195,3.108
COMPUT HUM BEHAV,RISK MANAG-UK,2,0.519
J ABNORM CHILD PSYCH,J CLIN CHILD ADOLESC,150,4.396
PSYCHOL REV,PSYCHOL BULL,55,16.793
MIT SLOAN MANAGE REV,HARVARD BUS REV,28,3.227
J OPER RES SOC,J OPER RES SOC,199,1.077
PSYCHIAT RES,CHILD ADOL PSYCH MEN,16,1.538
J ADOLESCENCE,DEV REV,28,4.638
J BUS PSYCHOL,J BUS PSYCHOL,50,2.694
CONTEMP EDUC PSYCHOL,EDUC PSYCHOL REV,42,4.333
J EDUC COMPUT RES,COMPUT EDUC,160,3.819
DRUG ALCOHOL DEPEN,ADDICT BEHAV,388,2.944
CAN J ADM SCI,ACAD MANAGE J,58,7.417
J AFFECT DISORDERS,CHILD ADOL PSYCH MEN,13,1.538
AGING NEUROPSYCHOL C,J CLIN EXP NEUROPSYC,31,1.839
AUST J PSYCHOL,AUST J PSYCHOL,6,1.309
INT J ENV RES PUB HE,SOC SCI MED,328,2.797
DRUG ALCOHOL DEPEN,AM J PUBLIC HEALTH,242,3.858
ARCH CLIN NEUROPSYCH,CLIN NEUROPSYCHOL,213,1.564
J CHILD FAM STUD,CHILD ABUSE NEGLECT,129,2.293
J ASSOC INF SYST,INFORM SYST RES,101,2.763
J PEDIATR NURS,J CLIN NURS,38,1.214
PSYCHIAT RES,J BEHAV THER EXP PSY,79,2.517
INT J ENV RES PUB HE,INJURY PREV,53,1.482
J BUS IND MARK,J MANAGE ORGAN,5,0.539
ETR&D-EDUC TECH RES,J COMPUT ASSIST LEAR,37,1.253
INTERNET RES,MIS QUART,75,7.268
PLOS ONE,HEALTH POLICY,195,2.119
FRONT PSYCHOL,ATTACH HUM DEV,79,2.042
DEV PSYCHOL,DEV PSYCHOL,658,3.228
INT J DISAST RISK RE,J HOMEL SECUR EMERG,17,0.474
PLOS ONE,BRIT J HEALTH PSYCH,45,2.551
J DEAF STUD DEAF EDU,AM ANN DEAF,89,1.024
INT J PSYCHOPHYSIOL,PSYCHOPHYSIOLOGY,384,2.668
J SOC SERV RES,VIOLENCE AGAINST WOM,17,1.423
SUPPORT CARE CANCER,HEALTH QUAL LIFE OUT,51,2.143
J EXP CHILD PSYCHOL,J EXP CHILD PSYCHOL,515,2.602
MALAYS J LIBR INF SC,LIBR INFORM SCI RES,15,1.185
TESOL QUART,TESOL QUART,248,2.056
J SERV RES-US,J CONSUM RES,67,3.800
J GLOB INF TECH MAN,J GLOB INF TECH MAN,29,1.167
TIJDSCHR COMMUNWET,COMPUT HUM BEHAV,10,3.435
ACAD-REV LATINOAM AD,FAM BUS REV,70,4.229
PLOS ONE,BRIT J DEV PSYCHOL,45,1.712
COMPUT HUM BEHAV,COMMUN MONOGR,50,1.738
EUR J AGEING,PSYCHOL AGING,34,2.812
EDUC TREAT CHILD,READ WRIT Q,7,1.061
PREV SCI,PREV SCI,184,2.570
ASIA PAC EDUC REV,ASIA PAC EDUC REV,32,0.366
J ORGAN CHANGE MANAG,ACAD MANAGE REV,105,9.408
J ASSOC INF SCI TECH,INFORM PROCESS MANAG,146,2.391
REM SPEC EDUC,EXCEPT CHILDREN,109,2.296
KNOWL-BASED SYST,COMPUT LINGUIST,33,2.528
TEACH TEACH EDUC,EUR J TEACH EDUC,30,0.695
J EDUC COMPUT RES,J EDUC PSYCHOL,38,3.459
J KNOWL MANAG,ACAD MANAGE J,68,7.417
J SOC SOC WORK RES,CHILD YOUTH SERV REV,19,1.226
EUR J OPER RES,OMEGA-INT J MANAGE S,313,4.029
AM J PSYCHOL,COGNITION,23,3.414
J AIR TRANSP MANAG,J AIR TRANSP MANAG,697,2.357
FRONT PSYCHOL,MEDIA PSYCHOL,32,3.125
TRANSPORT RES REC,TRANSPORTATION,163,2.633
BEHAV RES THER,COGNITIVE THER RES,128,2.313
YOUTH SOC,YOUTH SOC,27,1.608
QME-QUANT MARK ECON,RAND J ECON,17,1.465
SUSTAINABILITY-BASEL,J BUS ECON MANAG,11,0.968
DECISION SCI,EUR J OPER RES,62,3.297
EUR J PERSONALITY,PSYCHOL BULL,89,16.793
TECHNOL ECON DEV ECO,EXPERT SYST APPL,130,3.928
EURASIA J MATH SCI T,EURASIA J MATH SCI T,139,0.903
DRUS ISTRAZ,J PERS SOC PSYCHOL,20,5.017
J AM MED INFORM ASSN,J MED INTERNET RES,94,5.175
LEARN INSTR,EDUC PSYCHOL REV,43,4.333
SERV IND J,J BUS RES,67,3.354
J OFF STAT,PUBLIC OPIN QUART,44,1.386
PERS REV,HUM RELAT,68,2.622
J MANAGE STUD,STRATEGIC MANAGE J,245,4.461
J CRIM JUST,J CONTEMP CRIM JUST,12,0.913
BROOKINGS PAP ECO AC,AM ECON REV,27,4.026
J CONTING CRISIS MAN,PUBLIC RELAT REV,43,1.311
BMJ OPEN,J PSYCHOSOM RES,129,2.809
ELECTRON LIBR,ASLIB J INFORM MANAG,2,1.514
EUR ECON REV,BROOKINGS PAP ECO AC,24,1.593
SOC PSYCH PSYCH EPID,NORD J PSYCHIAT,17,1.406
ATTEN PERCEPT PSYCHO,CAN J EXP PSYCHOL,19,1.055
CHILD YOUTH SERV REV,EARLY CHILD RES Q,54,2.436
BEHAV INFORM TECHNOL,INT J HUM-COMPUT INT,14,1.118
FRONT PSYCHOL,I-PERCEPTION,17,1.051
TRAV HUMAIN,ACAD MANAGE J,9,7.417
J MEM LANG,J MEM LANG,414,3.065
TRANSPORT J,INT J SHIP TRANS LOG,5,0.609
REV LAT AM PSICOL,INT J CLIN HLTH PSYC,13,2.567
SYSTEM,APPL LINGUIST,122,3.593
SOC SCI J,AM POLIT SCI REV,32,3.316
ASSESSMENT,ASSESSMENT,110,3.062
INT REV FINANC ANAL,J FINANC MARK,36,1.134
J EXP PSYCHOL LEARN,J EXP PSYCHOL GEN,204,4.420
PERS SOC PSYCHOL B,J NONVERBAL BEHAV,17,1.588
J INFORMETR,J ASSOC INF SCI TECH,72,2.322
LANG TEST,TESOL QUART,20,2.056
DISTANCE EDUC,STUD HIGH EDUC,17,1.527
J SOC SERV RES,AFFILIA J WOM SOC WO,6,0.707
ELECTRON LIBR,SCIENTOMETRICS,52,2.147
COGNITIVE SCI,COGNITIVE SCI,177,2.917
MEM COGNITION,PSYCHOL LEARN MOTIV,34,2.821
PLOS ONE,HEALTH EDUC J,13,0.845
J TRANSCULT NURS,RES NURS HEALTH,18,1.693
TURK PSIKOL DERG,CHILD DEV,13,4.195
CHILD CARE HLTH DEV,CHILD HEALTH CARE,6,0.4
INT J PROD ECON,MANAGE SCI,522,2.822
BEHAV RES METHODS,ANN PSYCHOL,5,0.358
J APPL GERONTOL,GERONTOLOGIST,111,3.505
CAN J INFORM LIB SCI,LIBR INFORM SCI RES,7,1.185
SOC INDIC RES,SOCIOL SPECTRUM,5,0.421
COGNITIVE PSYCHOL,J EXP PSYCHOL GEN,52,4.420
SOC SCI MED,SOCIOL METHOD RES,25,3.604
AGING MENT HEALTH,INT PSYCHOGERIATR,97,2.423
INT J QUAL METH,QUAL HEALTH RES,16,2.036
MERRILL PALMER QUART,PSYCHOL BULL,14,16.793
ACAD MANAGE REV,ADMIN SCI QUART,153,4.929
MIS Q EXEC,DECISION SCI,4,1.595
METACOGN LEARN,J EXP PSYCHOL GEN,38,4.420
ADM POLICY MENT HLTH,PROF PSYCHOL-RES PR,30,1.209
J SOCIOLING,ANNU REV ANTHROPOL,18,2.413
SOC SCI MED,SOCIOL HEALTH ILL,196,1.89
JUSTICE Q,YOUTH VIOLENCE JUV J,20,2.372
SWISS J PSYCHOL,PSYCHOL SCI,12,5.667
PSYCHOL SCI,PSYCHOL BULL,90,16.793
BMJ OPEN,INT J BEHAV MED,22,1.846
J MARKETING,J MARKETING RES,378,3.654
J ACAD LIBR,PROGRAM-ELECTRON LIB,5,0.556
FRONT PSYCHOL,PSYCHOL HEALTH,70,2.225
J YOUTH ADOLESCENCE,J BLACK PSYCHOL,28,1.66
ASIAN J SOC PSYCHOL,PSYCHOL SCI,18,5.667
J INF SCI,J INF SCI,53,1.372
INT J OFFENDER THER,J CRIM JUST,85,2.339
ACAD MANAGE REV,J MANAGE INQUIRY,31,1.200
HEALTH CARE MANAGE R,HEALTH SERV RES,21,3.089
EUR J DEV PSYCHOL,CHILD DEV,91,4.195
PLOS ONE,FIELD METHOD,31,1.346
INT BUS REV,REV WORLD ECON,13,0.967
INT J INCLUSIVE EDUC,J COMMUNITY APPL SOC,9,1.133
CHEM EDUC RES PRACT,SCI EDUC,164,2.506
SOC SCI MED,AM SOCIOL REV,152,4.4
MARKET SCI,J MARKETING RES,219,3.654
COMPUT HUM BEHAV,J PERS SOC PSYCHOL,602,5.017
BRIT J DEV PSYCHOL,CHILD DEV,132,4.195
J GENET PSYCHOL,J GENET PSYCHOL,16,0.452
SOC PSYCHOL EDUC,TEACH TEACH EDUC,32,2.183
J SEX RES,FEM PSYCHOL,23,0.757
PLOS ONE,J MEM LANG,204,3.065
PUBLIC UNDERST SCI,PUBLIC UNDERST SCI,319,2.552
PUBLIC MONEY MANAGE,MANAGE ACCOUNT RES,23,3.000
IMPLEMENT SCI,ADM POLICY MENT HLTH,88,2.616
J AM COLL HEALTH,J STUD ALCOHOL DRUGS,48,2.5
AM J MENS HEALTH,PSYCHOL MEN MASCULIN,31,1.957
EUR MANAG J,MANAGE ORGAN REV,14,1.714
J PROD INNOVAT MANAG,RES POLICY,135,4.495
ARCH SEX BEHAV,SEX RES SOC POLICY,21,1.547
J GEN INTERN MED,HEALTH AFFAIR,162,4.98
J RES MATH EDUC,J LEARN DISABIL-US,14,1.494
NEBR SYM MOTIV,AM J PSYCHIAT,59,14.176
J YOUTH ADOLESCENCE,J COMMUNITY PSYCHOL,38,0.86
FRONT PSYCHOL,J COGN DEV,67,1.621
BRIT J DEV PSYCHOL,DEV PSYCHOL,98,3.228
R&D MANAGE,ACAD MANAGE J,130,7.417
MARKET LETT,MARKET SCI,58,2.163
DECIS SUPPORT SYST,INT J ACCOUNT INF SY,13,1.056
J COMMUN,INT J COMMUN-US,19,1.498
RES SCI EDUC,INT J SCI EDUC,144,1.240
J RATION-EMOT COGN-B,PSYCHOL BULL,12,16.793
HUM ORGAN,SOC SCI MED,17,2.797
HUM RESOUR MANAGE R,J APPL PSYCHOL,137,4.130
FRONT PSYCHOL,HUM PERFORM,26,1.302
J SUSTAIN TOUR,J SUSTAIN TOUR,685,2.978
CAN J PSYCHIAT,BRIT J PSYCHIAT,56,6.347
ENVIRON PLANN B,LANDSCAPE URBAN PLAN,37,4.563
J LANG SOC PSYCHOL,PSYCHOL BULL,18,16.793
J MANAGE INQUIRY,J MANAGE INQUIRY,66,1.200
J DRUG ISSUES,EVALUATION REV,11,1.293
TRANSPORT RES F-TRAF,TRAV HUMAIN,4,0.697
ASIA-PAC PSYCHIAT,BRIT J PSYCHIAT,29,6.347
PLOS ONE,SEX ROLES,90,1.954
EUR MANAG J,ORGAN SCI,80,2.691
J MANAGE STUD,ACAD MANAGE J,271,7.417
NICOTINE TOB RES,ADDICTION,399,5.789
TRENDS COGN SCI,TRENDS COGN SCI,271,15.402
VISUAL COMMUN-US,VISUAL COMMUN-US,28,0.689
PSYCHIAT RES,COMPR PSYCHIAT,301,2.194
INFORM DEV,J ELECTRON COMMER RE,19,1.386
IMPLEMENT SCI,AM J COMMUN PSYCHOL,35,2.108
MEMORY,J EXP PSYCHOL LEARN,265,2.667
DECISION SCI,MIS QUART,44,7.268
INT J PROD ECON,OPER RES,219,1.779
GROUP DECIS NEGOT,MANAGE SCI,52,2.822
ADDICT BEHAV,J GAMBL STUD,72,2.173
J SOC SOC WORK RES,J SOC SOC WORK RES,4,0.688
J EDUC MEAS,PSYCHOMETRIKA,36,2.111
QUAL LIFE RES,ZDRAV VARST,4,0.429
WESTERN J NURS RES,NURS RES,33,1.929
CHILD ABUSE NEGLECT,J INTERPERS VIOLENCE,97,1.940
ANXIETY STRESS COPIN,DEPRESS ANXIETY,33,4.971
AM J PSYCHOL,J EXP PSYCHOL HUMAN,23,2.287
J AFFECT DISORDERS,ARCH PSYCHIAT NURS,16,1.201
SOC SCI COMPUT REV,SOC SCI COMPUT REV,62,2.293
J CHILD ADOLES SUBST,AM J DRUG ALCOHOL AB,30,2.161
FRONT PSYCHOL,RES ORGAN BEHAV,44,2.55
J AFFECT DISORDERS,ANN GEN PSYCHIATR,13,1.405
SOCIOLOGY,QUAL INQ,23,1.159
ORGAN BEHAV HUM DEC,J BEHAV DECIS MAKING,32,1.738
PERS INDIV DIFFER,PSYCHOL REP,113,0.629
INT J PUBLIC OPIN R,J COMMUN,30,3.914
DRUG ALCOHOL DEPEN,AM J ADDICTION,101,1.873
J BUS ETHICS,STRATEGIC MANAGE J,346,4.461
J ADOLESCENCE,JPN PSYCHOL RES,5,0.531
FRONT PSYCHOL,SOC JUSTICE RES,17,0.796
J EXP PSYCHOL HUMAN,PSYCHOL SCI,213,5.667
AGEING SOC,HEALTH SOC CARE COMM,25,2.047
J FINANC MARK,ECONOMETRICA,28,3.379
BROOKINGS PAP ECO AC,J ECON PERSPECT,14,5.727
AGGRESS VIOLENT BEH,PSYCHOL CRIME LAW,30,1.408
HUM RESOUR MANAGE-US,HUM RESOUR MANAG J,18,2.147
SCIENTOMETRICS,QUAL QUANT,18,1.094
J CHILD FAM STUD,AM J COMMUN PSYCHOL,42,2.108
EUR J COMMUN,POLIT COMMUN,30,2.467
MOD LANG J,FOREIGN LANG ANN,42,0.756
COMPUT MATH ORGAN TH,ACAD MANAGE J,15,7.417
CREAT INNOV MANAG,RES POLICY,55,4.495
WORK EMPLOY SOC,SOCIOLOGY,26,1.963
EUR J WORK ORGAN PSY,APPL PSYCHOL-INT REV,34,1.865
AUST NZ J PSYCHIAT,J AFFECT DISORDERS,111,3.432
TEACH HIGH EDUC,TEACH HIGH EDUC,126,0.814
ILR REV,ILR REV,141,1.419
J PSYCHOPATHOL BEHAV,BEHAV RES THER,91,4.064
COMPUT HUM BEHAV,SMALL GR RES,31,1.440
PSYCHIAT CLIN N AM,SCHIZOPHR RES,76,3.986
FIELD METHOD,SURV RES METHODS-GER,5,0.452
SOC PSYCHOL-GERMANY,PERS SOC PSYCHOL B,64,2.504
J MASS COMMUN Q,J COMMUN,80,3.914
ANNU REV ORGAN PSYCH,ANNU REV ORGAN PSYCH,13,7.644
PSYCHOL ADDICT BEHAV,J DRUG ISSUES,21,1.161
STRATEG ORGAN,ORGAN SCI,84,2.691
COMPUT EDUC,ASIA-PAC EDUC RES,12,0.576
FRONT PSYCHOL,J INDIVID DIFFER,14,1.123
POLICY SCI,PUBLIC ADMIN REV,15,3.473
J CLIN CHILD ADOLESC,CHILD DEV,90,4.195
RES POLICY,INT J IND ORGAN,74,0.795
STRATEGIC MANAGE J,EUR MANAG REV,12,1.333
PSYCHOL ASSESSMENT,J PSYCHOPATHOL BEHAV,45,1.905
INT J STRESS MANAGE,ACAD MANAGE J,20,7.417
EUR J AGEING,J GERONTOL B-PSYCHOL,71,3.064
SUBST USE MISUSE,J ADDICT NURS,4,0.400
SUICIDE LIFE-THREAT,ARCH SUICIDE RES,28,1.901
PSYCHOL ASSESSMENT,PSYCHOL BULL,168,16.793
INFORM MANAGE-AMSTER,MIS Q EXEC,13,1.741
SOC SCI MED,HEALTH RISK SOC,15,2.262
ORGAN DYN,ACAD MANAGE REV,10,9.408
SOC SCI RES,SOC SCI RES,163,1.327
J SPEC EDUC,BEHAV DISORDERS,11,0.972
INT J BEHAV DEV,JPN PSYCHOL RES,5,0.531
POLAR-POLIT LEG ANTH,ANNU REV ANTHROPOL,25,2.413
OMEGA-INT J MANAGE S,OMEGA-INT J MANAGE S,514,4.029
COGNITIVE PSYCHOL,COGNITIVE PSYCHOL,75,3.719
INFORM PROCESS MANAG,INFORM PROCESS MANAG,107,2.391
READ WRIT,READ WRIT,235,1.489
COMMUN RES,COMMUN RES,109,3.021
RES THEOR NURS PRACT,INT J NURS STUD,9,3.755
OMEGA-INT J MANAGE S,MANAGE SCI,199,2.822
ARCH SEX BEHAV,J HOMOSEXUAL,83,1.369
SCHIZOPHR RES,FRONT PSYCHIATRY,38,3.532
INFORM DEV,INFORM RES,13,0.574
ANNU REV ANTHROPOL,POLAR-POLIT LEG ANTH,4,0.605
INFORM MANAGE-AMSTER,J STRATEGIC INF SYST,62,3.486
INT J NURS STUD,INT J NURS STUD,443,3.755
PLOS ONE,EXP ECON,59,2.391
INT J COMMUN-US,SOC SEMIOT,6,0.484
J ECON EDUC,AM ECON REV,31,4.026
INT J PSYCHOPHYSIOL,INT J PSYCHOPHYSIOL,416,2.582
CHILD ABUSE REV,CHILD ABUSE REV,128,1.543
STRUCT EQU MODELING,J AM STAT ASSOC,34,2.016
BEHAV THER,CLIN PSYCHOL-SCI PR,49,2.38
RES AUTISM SPECT DIS,RES AUTISM SPECT DIS,205,1.500
QUAL LIFE RES,MED CARE,207,2.897
TECHNOL PEDAGOG EDUC,AUSTRALAS J EDUC TEC,15,0.853
INT J LANG COMM DIS,J AUTISM DEV DISORD,36,3.321
CHILD YOUTH SERV REV,J APPL DEV PSYCHOL,34,2.146
J MANAGE,ORGAN SCI,216,2.691
BRIT EDUC RES J,BRIT EDUC RES J,64,1.214
J ASSOC INF SYST,J MIX METHOD RES,14,1.6
RBGN-REV BRAS GEST N,RBGN-REV BRAS GEST N,6,0.153
J APPL DEV PSYCHOL,EARLY CHILD RES Q,56,2.436
J COMMUN,POLIT COMMUN,53,2.467
ACAD-REV LATINOAM AD,J FINANC ECON,25,4.505
EDUC RES-UK,CHILD DEV,11,4.195
J CULT ECON-UK,ORGAN STUD,17,3.107
PSYCHOTHER PSYCH MED,PSYCHIAT PRAX,43,1.302
S AFR J ECON MANAG S,AM ECON REV,17,4.026
MANAGE SCI,J FINANC,417,6.043
ENERG EFFIC,ENERG POLICY,321,4.140
ECON J,AM ECON REV,284,4.026
INT COMMUN GAZ,ASIAN J COMMUN,11,0.638
SURV RES METHODS-GER,PSYCHOMETRIKA,8,2.111
J HEALTH COMMUN,HUM COMMUN RES,61,1.549
PERS SOC PSYCHOL B,SELF IDENTITY,18,1.463
MINDFULNESS,CLIN PSYCHOL REV,112,8.897
MIS Q EXEC,J STRATEGIC INF SYST,4,3.486
SUBST ABUS,J SUBST ABUSE TREAT,118,2.868
ANNU REV CLIN PSYCHO,J ABNORM PSYCHOL,62,4.133
PLOS ONE,J ADV NURS,157,1.998
QUAL RES,QUAL RES,113,2.012
PLOS ONE,CLIN NEUROPSYCHOL,47,1.564
ELECTRON LIBR,J ACAD LIBR,49,1.287
LIBR INFORM SCI RES,J LIBR INF SCI,12,1.019
SOC SCI QUART,SOC SCI QUART,98,0.849
PLOS ONE,EVOL ANTHROPOL,61,3.733
AM J PSYCHIAT,NEUROIMAGE,92,5.835
J FAM VIOLENCE,J CONSULT CLIN PSYCH,86,4.593
J COMP PSYCHOL,J COMP PSYCHOL,106,2.268
J BUS ETHICS,J ORGAN CHANGE MANAG,16,0.761
EARLY CHILD RES Q,FUTURE CHILD,26,2.583
BIOL PSYCHOL,J PSYCHOPHYSIOL,50,0.683
COMPUT HUM BEHAV,DISCOURSE CONTEXT ME,2,1.000
J MENT HEALTH,AUST NZ J PSYCHIAT,28,4.036
J ADVERTISING,J PERS SOC PSYCHOL,57,5.017
BRIT J MANAGE,ORGAN SCI,95,2.691
STRESS HEALTH,J ORGAN BEHAV,46,3.607
REV PUBLIC PERS ADM,J PUBL ADM RES THEOR,84,3.624
CURR ANTHROPOL,ANNU REV ANTHROPOL,56,2.413
ORGAN BEHAV HUM DEC,J PERS SOC PSYCHOL,339,5.017
FRONT PSYCHOL,MERRILL PALMER QUART,37,1.05
EMOTION,PERS INDIV DIFFER,72,2.005
DEMOGRAPHY,SOC FORCES,60,2.113
RES POLICY,RAND J ECON,96,1.465
J PERS ASSESS,PSYCHOL ASSESSMENT,123,3.307
SOC INFLUENCE,PSYCHOL BULL,18,16.793
STRESS HEALTH,WORK STRESS,55,3.400
FRONT PSYCHOL,ASIAN J SOC PSYCHOL,21,1
PLOS ONE,STRESS HEALTH,19,2.114
J RATION-EMOT COGN-B,J RATION-EMOT COGN-B,40,0.696
PLOS ONE,J PERS,109,3.590
J EXP SOC PSYCHOL,PSYCHOL REV,58,7.638
BIOL PSYCHOL,PSYCHOPHYSIOLOGY,530,2.668
INT J SCI EDUC,EDUC RESEARCHER,49,3.827
EURASIA J MATH SCI T,J RES SCI TEACH,221,3.179
EXP ECON,J ECON BEHAV ORGAN,56,1.323
INTERNET HIGH EDUC,AUSTRALAS J EDUC TEC,20,0.853
IND CORP CHANGE,ADMIN SCI QUART,76,4.929
BMC MED INFORM DECIS,J AM MED INFORM ASSN,200,3.698
PLOS ONE,CLIN PSYCHOL REV,215,8.897
EDUC SCI-THEOR PRACT,EDUC SCI-THEOR PRACT,85,0.410
COMPUT HUM BEHAV,J COMMUNITY APPL SOC,26,1.133
AM J SOCIOL,SOCIOL EDUC,49,2.697
J COMPUT-MEDIAT COMM,COMPUT HUM BEHAV,40,3.435
PLOS ONE,EAT BEHAV,45,2.258
CURR ANTHROPOL,SCIENCE,90,37.205
PSYCHOL LEARN MOTIV,DISCOURSE PROCESS,24,2.074
BRIT J PSYCHOL,J PERS SOC PSYCHOL,67,5.017
TRAV HUMAIN,J APPL PSYCHOL,20,4.130
MANAGE LEARN,ACAD MANAGE REV,39,9.408
SCHIZOPHR RES,PSYCHOL MED,317,5.23
FRONT PSYCHOL,AN PSICOL-SPAIN,30,0.871
J GERONTOL B-PSYCHOL,J GERONTOL B-PSYCHOL,374,3.064
EDUC STUD-UK,BRIT EDUC RES J,12,1.214
SUPPLY CHAIN MANAG,J OPER MANAG,251,5.207
J CONSULT CLIN PSYCH,ADDICT BEHAV,68,2.944
PLOS ONE,J ABNORM CHILD PSYCH,127,3.615
ASIAN J SOC PSYCHOL,J PERS SOC PSYCHOL,130,5.017
RES SOCIAL WORK PRAC,CHILD YOUTH SERV REV,58,1.226
SCI TECHNOL HUM VAL,SCIENCE,20,37.205
J ABNORM CHILD PSYCH,CHILD YOUTH CARE FOR,7,1.054
CHIN J COMMUN,ASIAN J COMMUN,7,0.638
PSYCHIAT INVEST,J AFFECT DISORDERS,91,3.432
BALT J MANAG,ACAD MANAGE J,77,7.417
J RES CRIME DELINQ,J RES CRIME DELINQ,90,2.545
CREATIVITY RES J,PSYCHOL AESTHET CREA,54,1.860
ATTEN PERCEPT PSYCHO,EXP PSYCHOL,31,1.829
QUAL HEALTH RES,SOC SCI MED,223,2.797
J BUS RES,HARVARD BUS REV,221,3.227
